<DOC>	<DOC>+BDTag
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sonra	sonra+ADV
bilgisayarlar	bilgisayar+NOUN+A3PL+PNON+NOM
bize	biz+PRON+PERS+A1PL+PNON+DAT
şimdiye	şimdi+NOUN+A3SG+PNON+DAT
kadar	kadar+POSTP+PCDAT
okuyabildiğimizden	oku+VERB+POS^DB+VERB+ABLE^DB+NOUN+PASTPART+A3SG+P1PL+ABL
daha	daha+ADV
fazla	fazla+ADJ
bilgi	bilgi+NOUN+A3SG+PNON+NOM
verir	ver+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
``	``+PUNC
Onu	o+PRON+PERS+A3SG+PNON+ACC
bir	bir+DET
pis	pis+ADJ
su	su+NOUN+A3SG+PNON+NOM
arıtma	arıt+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
tesisi	tesis+NOUN+A3SG+PNON+ACC
olarak	ol+VERB+POS^DB+ADV+BYDOINGSO
görmüyorum	gör+VERB+NEG+PROG1+A1SG
,	,+PUNC
''	''+PUNC
der	de+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ve	ve+CONJ
o	o+PRON+PERS+A3SG+PNON+NOM
çok	çok+ADJ
güçlü	güç+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
kişisel	kişisel+ADJ
bilgisayarlarda	bilgisayar+NOUN+A3PL+PNON+LOC
en	en+ADV
iyi	iyi+ADJ
şekilde	şekil+NOUN+A3SG+PNON+LOC
çalışır	çalış+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
onu	o+PRON+PERS+A3SG+PNON+ACC
denemiş	dene+VERB+POS+NARR^DB+ADJ+ZERO
olan	ol+VERB+POS^DB+ADJ+PRESPART
kimi	kim+PRON+QUESP+A3SG+PNON+ACC
yatırımcılar	yatırımcı+NOUN+A3PL+PNON+NOM
ve	ve+CONJ
danışmanlar	danışman+NOUN+A3PL+PNON+NOM
coşkuluydu	coşku+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bir	bir+DET
kullanıcının	kullan+VERB+POS^DB+NOUN+AGT+A3SG+PNON+GEN
kişisel	kişisel+ADJ
bilgisayarına	bilgisayar+NOUN+A3SG+P3SG+DAT
bağlı	bağ+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
bir	bir+DET
FM	fm+NOUN+PROP+A3SG+PNON+NOM
alıcısı	alıcı+NOUN+A3SG+P3SG+NOM
haber	haber+NOUN+A3SG+PNON+NOM
alır	al+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Tek	tek+ADJ
erken	erken+ADJ
dönem	dönem+NOUN+A3SG+PNON+NOM
kullanıcı	kullan+VERB+POS^DB+NOUN+AGT+A3SG+PNON+NOM
NEC	nec+NOUN+PROP+A3SG+PNON+NOM
Corp'un	corp+NOUN+PROP+A3SG+PNON+GEN
ABD	abd+NOUN+PROP+A3SG+PNON+NOM
yazıcı	yaz+VERB+POS^DB+NOUN+AGT+A3SG+PNON+NOM
pazarlama	pazarla+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
koludur	kol+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+PRON+DEMONSP+A3SG+PNON+NOM
bir	bir+NUM+CARD
de	de+CONJ
NEC'in	nec+NOUN+PROP+A3SG+PNON+GEN
dağıtımcıları	dağıtımcı+NOUN+A3PL+P3SG+NOM
ve	ve+CONJ
müşterileri	müşteri+NOUN+A3PL+P3SG+NOM
üstünden	üst+NOUN+A3SG+P3SG+ABL
personel	personel+NOUN+A3SG+PNON+NOM
ve	ve+CONJ
finansal	finansal+ADJ
duyuruları	duyuru+NOUN+A3PL+P3SG+NOM
izler	izle+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Individual	Individual+NOUN+PROP+A3SG+PNON+NOM
Inc.	ınc.+NOUN+PROP+A3SG+PNON+NOM
teknolojisi	teknoloji+NOUN+A3SG+P3SG+NOM
bir	bir+DET
bilgisayarlı	bilgisayar+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
eşanlamlılar	eşanlamlı+ADJ^DB+NOUN+ZERO+A3PL+PNON+NOM
sözlüğü	sözlük+NOUN+A3SG+P3SG+NOM
kullanarak	kullan+VERB+POS^DB+ADV+BYDOINGSO
kelime	kelime+NOUN+A3SG+PNON+NOM
aramalarının	ara+VERB+POS^DB+NOUN+INF2+A3PL+P3SG+GEN
ötesine	öte+NOUN+A3SG+P3SG+DAT
geçer	geç+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İnsanlar	insan+NOUN+A3PL+PNON+NOM
ayrıca	ayrıca+ADV
200	200+NUM+CARD
bilgisayar	bilgisayar+NOUN+A3SG+PNON+NOM
endüstrisi	endüstri+NOUN+A3SG+P3SG+NOM
yayınlarının	yayın+NOUN+A3PL+P3SG+GEN
bazılarından	bazı+PRON+QUANTP+A3PL+P3PL+ABL
makale	makale+NOUN+A3SG+PNON+NOM
özetleri	özet+NOUN+A3PL+P3SG+NOM
yazarlar	yaz+VERB+POS+AOR+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Notes	Notes+NOUN+PROP+A3SG+PNON+NOM
ile	ile+POSTP+PCNOM
,	,+PUNC
gözle	göz+NOUN+A3SG+PNON+INS
görünür	görün+VERB+POS+AOR^DB+ADJ+ZERO
şekilde	şekil+NOUN+A3SG+PNON+LOC
ayrıdırlar	ayrı+ADJ^DB+VERB+ZERO+PRES+COP+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Goldman	goldman+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
Sachs	sachs+NOUN+PROP+A3SG+PNON+NOM
&	&+PUNC
Co.	Co.+NOUN+PROP+A3SG+PNON+NOM
sigortacıydı	sigortacı+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
dünya	dünya+NOUN+A3SG+PNON+NOM
çapında	çap+NOUN+A3SG+P3SG+LOC
tütün	tütün+NOUN+A3SG+PNON+NOM
ürünleri	ürün+NOUN+A3PL+P3SG+NOM
için	için+POSTP+PCNOM
operasyonel	operasyonel+NOUN+A3SG+PNON+NOM
kâr	kâr+NOUN+A3SG+PNON+NOM
247.6	247.6+NUM+REAL
milyon	milyon+NUM+CARD
dolara	dolar+NOUN+A3SG+PNON+DAT
%	%+PERCENT
10	10+NUM+CARD
yükseldi	yüksel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gelir	gelir+NOUN+A3SG+PNON+NOM
8.98	8.98+NUM+REAL
milyar	milyar+NUM+CARD
dolardan	dolar+NOUN+A3SG+PNON+ABL
9.03	9.03+NUM+REAL
milyar	milyar+NUM+CARD
dolara	dolar+NOUN+A3SG+PNON+DAT
yükseldi	yüksel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Şirket	şirket+NOUN+A3SG+PNON+NOM
altı	altı+NUM+CARD
Batılı	batı+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
eyalete	eyalet+NOUN+A3SG+PNON+DAT
hizmet	hizmet+NOUN+A3SG+PNON+NOM
eden	et+VERB+POS^DB+ADJ+PRESPART
bağımsız	bağımsız+ADJ
bir	bir+DET
rafine	rafine+NOUN+A3SG+PNON+NOM
petrol	petrol+NOUN+A3SG+PNON+NOM
ürünleri	ürün+NOUN+A3PL+P3SG+NOM
boru	boru+NOUN+A3SG+PNON+NOM
hattıdır	hat+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
WASHINGTON	washıngton+NOUN+PROP+A3SG+PNON+NOM
borsanın	borsa+NOUN+A3SG+PNON+GEN
inişli	in+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM^DB+ADJ+WITH
çıkışlı	çık+VERB+POS^DB+NOUN+INF3+A3SG+PNON+NOM^DB+ADJ+WITH
gidişinin	git+VERB+POS^DB+NOUN+INF3+A3SG+P3SG+GEN
ardından	ardından+ADV
gizlenir	gizle+VERB^DB+VERB+PASS+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
BAKER	baker+NOUN+PROP+A3SG+PNON+NOM
FALTERS	FALTERS+NOUN+PROP+A3SG+PNON+NOM
İsrail	israil+NOUN+PROP+A3SG+PNON+NOM
paralizi	paralizi+NOUN+A3SG+PNON+NOM
ve	ve+CONJ
Filistin	filistin+NOUN+PROP+A3SG+PNON+NOM
politikası	politika+NOUN+A3SG+P3SG+NOM
arasında	ara+NOUN+A3SG+P3SG+LOC
Ortadoğu'da	ortadoğu+NOUN+PROP+A3SG+PNON+LOC
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bütçe	bütçe+NOUN+A3SG+PNON+NOM
ve	ve+CONJ
sermaye	sermaye+NOUN+A3SG+PNON+NOM
kazanımlarıyla	kazanım+NOUN+A3PL+P3SG+INS
ilgili	ilgili+NOUN+A3SG+PNON+NOM
DARMANS	DARMANS+NOUN+PROP+A3SG+PNON+NOM
manevraları	manevra+NOUN+A3PL+P3SG+NOM
Kongre'de	kongre+NOUN+PROP+A3SG+PNON+LOC
ona	o+PRON+PERS+A3SG+PNON+DAT
zarar	zarar+NOUN+A3SG+PNON+NOM
verir	ver+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Senato	senato+NOUN+A3SG+PNON+NOM
GOP	gop+NOUN+PROP+A3SG+PNON+NOM
lideri	lider+NOUN+A3SG+P3SG+NOM
Dole	Dole+NOUN+PROP+A3SG+PNON+NOM
Senato	senato+NOUN+A3SG+PNON+NOM
katında	kat+NOUN+A3SG+P3SG+LOC
bütçe	bütçe+NOUN+A3SG+PNON+NOM
başkanıyla	başkan+NOUN+A3SG+P3SG+INS
alay	alay+NOUN+A3SG+PNON+NOM
eder	et+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
Darman	darman+NOUN+PROP+A3SG+PNON+NOM
bu	bu+PRON+DEMONSP+A3SG+PNON+NOM
tür	tür+NOUN+A3SG+PNON+NOM
gerginliklerin	gergin+ADJ^DB+NOUN+NESS+A3PL+PNON+GEN
hızla	hızla+ADV
dağılacağını	dağıl+VERB+POS^DB+NOUN+FUTPART+A3SG+P3SG+ACC
öne	ön+NOUN+A3SG+PNON+DAT
sürer	sür+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
HHS	HHS+NOUN+PROP+A3SG+PNON+NOM
yetkilileri	yetkili+NOUN+A3PL+P3SG+NOM
Secretary	Secretary+NOUN+PROP+A3SG+PNON+NOM
Sullivan'ın	sullivan+NOUN+PROP+A3SG+PNON+GEN
cenin	cenin+NOUN+A3SG+PNON+NOM
dokusu	doku+NOUN+A3SG+P3SG+NOM
kullanarak	kullan+VERB+POS^DB+ADV+BYDOINGSO
araştırma	araştır+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
yapılması	yap+VERB^DB+VERB+PASS+POS^DB+NOUN+INF2+A3SG+P3SG+NOM
yasağına	yasak+NOUN+A3SG+P3SG+DAT
devam	devam+NOUN+A3SG+PNON+NOM
edeceğini	et+VERB+POS^DB+NOUN+FUTPART+A3SG+P3SG+ACC
umar	um+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ortaklık	ortaklık+NOUN+A3SG+PNON+NOM
ABD	abd+NOUN+PROP+A3SG+PNON+NOM
ve	ve+CONJ
Avrupa	avrupa+NOUN+PROP+A3SG+PNON+NOM
arasındaki	ara+NOUN+A3SG+P3SG+LOC^DB+ADJ+REL
silah	silah+NOUN+A3SG+PNON+NOM
gelişiminde	gelişim+NOUN+A3SG+P3SG+LOC
sona	son+NOUN+A3SG+PNON+DAT
yaklaşır	yaklaş+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Şimdi	şimdi+ADV
Her	her+DET
iki	iki+NUM+CARD
Taraf	taraf+NOUN+A3SG+PNON+NOM
:	:+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sıcak	sıcak+ADJ
gündem	gündem+NOUN+A3SG+PNON+NOM
Maddesi	madde+NOUN+A3SG+P3SG+NOM
:	:+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Tutucular	tut+VERB+POS^DB+NOUN+AGT+A3PL+PNON+NOM
Bush'un	bush+NOUN+PROP+A3SG+PNON+GEN
yüce	yüce+ADJ
mahkemede	mahkeme+NOUN+A3SG+PNON+LOC
onların	o+PRON+PERS+A3PL+PNON+GEN
çoğunluğunu	çoğunluk+NOUN+A3SG+P3SG+ACC
kuvvetlendirmesini	kuvvet+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE^DB+VERB+CAUS+POS^DB+NOUN+INF2+A3SG+P3SG+ACC
umar	um+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Muhafazakarlar	muhafazakar+NOUN+A3PL+PNON+NOM
artık	artık+ADV
sadece	sadece+ADV
5-4	5-4+RANGE
üstünlüğe	üstünlük+NOUN+A3SG+PNON+DAT
sahiptir	sahip+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Önemsiz	önem+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT
Bildiriler	bildiri+NOUN+A3PL+PNON+NOM
:	:+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
Burns	Burns+NOUN+PROP+A3SG+PNON+NOM
bir	bir+DET
röportajda	röportaj+NOUN+A3SG+PNON+LOC
itiraf	itiraf+NOUN+A3SG+PNON+NOM
eder	et+VERB+POS+AOR+A3SG
:	:+PUNC
``	``+PUNC
Bu	bu+DET
benim	ben+PRON+PERS+A1SG+PNON+NOM^DB+VERB+ZERO+PRES+A1SG
el	el+NOUN+A3SG+PNON+NOM
yazım	yazı+NOUN+A3SG+P1SG+NOM
değil	değil+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bay	bay+NOUN+A3SG+PNON+NOM
Hoelzer	Hoelzer+NOUN+PROP+A3SG+PNON+NOM
hakimin	hakim+NOUN+A3SG+PNON+GEN
kararı	karar+NOUN+A3SG+P3SG+NOM
hakkında	hakkında+ADV
yorum	yorum+NOUN+A3SG+PNON+NOM
arayan	ara+VERB+POS^DB+ADJ+PRESPART
telefon	telefon+NOUN+A3SG+PNON+NOM
çağrılarına	çağrı+NOUN+A3PL+P3SG+DAT
geri	geri+ADV
dönmedi	dön+VERB+NEG+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
bazen	bazen+ADV
mısır	mısır+NOUN+A3SG+PNON+NOM
ihracat	ihracat+NOUN+A3SG+PNON+NOM
yapmak	yap+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
için	için+POSTP+PCNOM
planlar	plan+NOUN+A3PL+PNON+NOM
ileri	ileri+NOUN+A3SG+PNON+NOM
sürdükleri	sür+VERB+POS^DB+NOUN+PASTPART+A3PL+P3SG+NOM
sinyalini	sinyal+NOUN+A3SG+P3SG+ACC
verir	ver+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sovyet	sovyet+NOUN+A3SG+PNON+NOM
faizi	faiz+NOUN+A3SG+P3SG+NOM
dedikoduları	dedikodu+NOUN+A3PL+P3SG+NOM
ayrıca	ayrıca+ADV
soya	soya+NOUN+A3SG+PNON+NOM
vadeli	vade+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
işlem	işlem+NOUN+A3SG+PNON+NOM
sözleşmeleri	söz+NOUN+A3SG+PNON+NOM^DB+VERB+BECOME+POS^DB+NOUN+INF2+A3PL+P3SG+NOM
fiyatlarını	fiyat+NOUN+A3PL+P3PL+ACC
yukarı	yukarı+ADJ
itti	it+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hasat	hasat+NOUN+A3SG+PNON+NOM
gecikir	gecik+VERB+POS+AOR+A3SG
,	,+PUNC
her	her+DET
halükarda	halükarda+NOUN+A3SG+PNON+NOM
,	,+PUNC
geçici	geçici+ADJ
olacağı	ol+VERB+POS^DB+NOUN+FUTPART+A3SG+P3SG+NOM
umulmuştur	um+VERB^DB+VERB+PASS+POS+NARR+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çiftçilerin	çiftçi+NOUN+A3PL+PNON+GEN
yoğun	yoğun+ADJ
satışı	sat+VERB+POS^DB+NOUN+INF3+A3SG+P3SG+NOM
fiyat	fiyat+NOUN+A3SG+PNON+NOM
canlanmasının	can+NOUN+A3SG+PNON+NOM^DB+VERB+ACQUIRE+POS^DB+NOUN+INF2+A3SG+P3SG+GEN
yavaşlamasına	yavaşla+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+DAT
yardım	yardım+NOUN+A3SG+PNON+NOM
etti	et+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Buğday	buğday+NOUN+A3SG+PNON+NOM
gelecek	gelecek+NOUN+A3SG+PNON+NOM
sözleşmesi	sözleş+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+NOM
fiyatları	fiyat+NOUN+A3PL+P3SG+NOM
yavaşça	yavaş+ADJ^DB+ADV+LY
yükseldi	yüksel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Diğer	diğer+ADJ
ticari	ticari+ADJ
mal	mal+NOUN+A3SG+PNON+NOM
piyasalarında	piyasa+NOUN+A3PL+P3SG+LOC
dün	dün+NOUN+A3SG+PNON+NOM
:	:+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kıymetli	kıymet+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
Metaller	metal+NOUN+A3PL+PNON+NOM
:	:+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
gelecek	gelecek+NOUN+A3SG+PNON+NOM
sözleşmesi	sözleş+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+NOM
fiyatları	fiyat+NOUN+A3PL+P3SG+NOM
geriledi	gerile+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bir	bir+DET
takım	takım+NOUN+A3SG+PNON+NOM
gelişmeler	geliş+VERB+POS^DB+NOUN+INF2+A3PL+PNON+NOM
olumsuz	olumsuz+ADJ
şekilde	şekil+NOUN+A3SG+PNON+LOC
tüccarlar	tüccar+NOUN+A3PL+PNON+NOM
tarafından	taraf+NOUN+A3SG+P3SG+ABL
yorumlanmıştı	yorumla+VERB^DB+VERB+PASS+POS+NARR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Aralık	aralık+NOUN+PROP+A3SG+PNON+NOM
teslimi	teslim+NOUN+A3SG+P3SG+NOM
altın	altın+NOUN+A3SG+PNON+NOM
370.60	370.6+NUM+REAL
dolara	dolar+NOUN+A3SG+PNON+DAT
bir	bir+DET
onsu	ons+NOUN+A3SG+P3SG+NOM
1.80	1.8+NUM+REAL
dolar	dolar+NOUN+A3SG+PNON+NOM
düştü	düş+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Aralıkta	aralık+NOUN+A3SG+PNON+LOC
gümüş	gümüş+NOUN+A3SG+PNON+NOM
5.133	5.133+NUM+REAL
dolara	dolar+NOUN+A3SG+PNON+DAT
bir	bir+DET
onsu	ons+NOUN+A3SG+P3SG+NOM
2.7	2.7+NUM+REAL
sent	sent+NOUN+A3SG+PNON+NOM
rahatladı	rahatla+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ocakta	ocak+NOUN+A3SG+PNON+LOC
platin	platin+NOUN+A3SG+PNON+NOM
491.10	491.1+NUM+REAL
dolara	dolar+NOUN+A3SG+PNON+DAT
bir	bir+DET
onsu	ons+NOUN+A3SG+P3SG+NOM
3.60	3.6+NUM+REAL
dolar	dolar+NOUN+A3SG+PNON+NOM
azaldı	azal+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bakır	bakır+NOUN+PROP+A3SG+PNON+NOM
:	:+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
gelecek	gelecek+NOUN+A3SG+PNON+NOM
sözleşmesi	sözleş+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+NOM
fiyatları	fiyat+NOUN+A3PL+P3SG+NOM
sakin	sakin+ADJ
alım	alım+NOUN+A3SG+PNON+NOM
satımda	satım+NOUN+A3SG+PNON+LOC
toparlandı	toparlan+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Aralık	aralık+NOUN+PROP+A3SG+PNON+NOM
sözleşmesi	sözleş+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+NOM
1.2795	1.2795+NUM+REAL
dolara	dolar+NOUN+A3SG+PNON+DAT
bir	bir+DET
paunt	paunt+NOUN+A3SG+PNON+NOM
1.50	1.5+NUM+REAL
sent	sent+NOUN+A3SG+PNON+NOM
yükseldi	yüksel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
ENERJİ	enerji+NOUN+A3SG+PNON+NOM
:	:+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
ham	ham+NOUN+A3SG+PNON+NOM
yağ	yağ+NOUN+A3SG+PNON+NOM
fiyatları	fiyat+NOUN+A3PL+P3SG+NOM
karışık	karışık+ADJ
sona	son+NOUN+A3SG+PNON+DAT
erdi	er+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
sözde	sözde+ADJ
dış	dış+ADJ
ay	ay+NOUN+A3SG+PNON+NOM
sözleşmeleri	sözleş+VERB+POS^DB+NOUN+INF2+A3PL+P3SG+NOM
daha	daha+ADV
yüksek	yüksek+ADJ
sonuçlandı	sonuçla+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Örneğin	örnek+NOUN+A3SG+PNON+GEN
,	,+PUNC
WTI	WTI+NOUN+PROP+A3SG+PNON+NOM
için	için+POSTP+PCNOM
Aralık	aralık+NOUN+PROP+A3SG+PNON+NOM
sözleşmeleri	sözleş+VERB+POS^DB+NOUN+INF2+A3PL+P3SG+NOM
20.42	20.42+NUM+REAL
dolara	dolar+NOUN+A3SG+PNON+DAT
17	17+NUM+CARD
sent	sent+NOUN+A3SG+PNON+NOM
yükseldi	yüksel+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Çoğu	çoğu+ADJ
enerji	enerji+NOUN+A3SG+PNON+NOM
vadeli	vade+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
işlemleri	işlem+NOUN+A3PL+P3SG+NOM
,	,+PUNC
takip	takip+NOUN+A3SG+PNON+NOM
eden	et+VERB+POS^DB+ADJ+PRESPART
Çarşamba	çarşamba+NOUN+PROP+A3SG+PNON+NOM
piyasası	piyasa+NOUN+A3SG+P3SG+NOM
gerileme	gerile+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
döneminde	dönem+NOUN+A3SG+P3SG+LOC
daha	daha+ADV
düşük	düşük+ADJ
açıldı	aç+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Fakat	fakat+CONJ
dünkü	dünkü+ADJ
geç	geç+ADJ
alım	alım+NOUN+A3SG+PNON+NOM
satım	satım+NOUN+A3SG+PNON+NOM
heyecanı	heyecan+NOUN+A3SG+P3SG+NOM
fiyatları	fiyat+NOUN+A3PL+P3SG+NOM
güçlendirdi	güç+ADJ^DB+VERB+ACQUIRE^DB+VERB+CAUS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Isıtma	ısıt+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
yağı	yağ+NOUN+A3SG+P3SG+NOM
ve	ve+CONJ
benzin	benzin+NOUN+A3SG+PNON+NOM
vadeli	vade+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
işlemleri	işlem+NOUN+A3PL+P3SG+NOM
de	de+CONJ
daha	daha+ADV
yüksek	yüksek+ADJ
sona	son+NOUN+A3SG+PNON+DAT
erdi	er+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Şahıslar	şahıs+NOUN+A3PL+PNON+NOM
ve	ve+CONJ
şirketlere	şirket+NOUN+A3PL+PNON+DAT
karşı	karşı+POSTP+PCDAT
şikayetler	şikayet+NOUN+A3PL+PNON+NOM
bile	bile+ADV
önemli	önem+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
engellerle	engel+NOUN+A3PL+PNON+INS
karşılaşır	karşılaş+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
savunmaların	savun+VERB+POS^DB+NOUN+INF2+A3PL+PNON+GEN
Bay	bay+NOUN+A3SG+PNON+NOM
Bridge	Bridge+NOUN+PROP+A3SG+PNON+NOM
çöküşünü	çök+VERB+POS^DB+NOUN+INF3+A3SG+P3SG+ACC
kapsayabileceğine	kapsa+VERB+POS^DB+VERB+ABLE^DB+NOUN+FUTPART+A3SG+P3SG+DAT
inanır	inan+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İsim	isim+NOUN+A3SG+PNON+NOM
dediğin	de+VERB+POS^DB+NOUN+PASTPART+A3SG+PNON+GEN
nedir	ne+PRON+QUESP+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
ki	ki+CONJ
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Coopers	Coopers+NOUN+PROP+A3SG+PNON+NOM
dünya	dünya+NOUN+A3SG+PNON+NOM
çapında	çap+NOUN+A3SG+P3SG+LOC
Coopers	Coopers+NOUN+PROP+A3SG+PNON+NOM
&	&+PUNC
Lybrand	Lybrand+NOUN+PROP+A3SG+PNON+NOM
adını	ad+NOUN+A3SG+P3SG+ACC
kullanır	kullan+VERB+POS+AOR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hapishaneler	hapishane+NOUN+A3PL+PNON+NOM
oldukça	oldukça+ADV
kalabalık	kalaba+NOUN+A3SG+PNON+NOM^DB+ADJ+FITFOR
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ya	ya+INTERJ
bize	biz+PRON+PERS+A1PL+PNON+DAT
